symbol,long_name,sector,industry,market_cap,beta,dividend_yield,five_year_avg_dividend_yield,trailing_pe,current_price,fifty_two_week_high,fifty_two_week_low,raw_info_json,updated_at
2S,2S Metal Public Company Limited,Basic Materials,Steel,1429989504.0,0.314,9.02,7.35,9.629629,2.6,2.84,2.0,"{'ask': 2.66, 'bid': 2.6, 'fax': '66 7 480 1286', 'zip': '90110', 'beta': 0.314, 'city': 'Bang Klam', 'open': 2.64, 'phone': '66 7 480 0111', 'dayLow': 2.6, 'ebitda': 176039008, 'market': 'th_market', 'maxAge': 86400, 'region': 'US', 'sector': 'Basic Materials', 'symbol': '2S.BK', 'volume': 2200, 'askSize': 0, 'bidSize': 0, 'country': 'Thailand', 'dayHigh': 2.68, 'website': 'https://www.ss.co.th', 'address1': 'No. 8/5 Moo 14', 'address2': 'Tambon Thachang Amphur Bangklam Songkhla Province', 'currency': 'THB', 'exchange': 'SET', 'industry': 'Steel', 'language': 'en-US', 'longName': '2S Metal Public Company Limited', 'typeDisp': 'Equity', 'bookValue': 3.716, 'marketCap': 1429989504, 'priceHint': 4, 'quoteType': 'EQUITY', 'sectorKey': 'basic-materials', 'shortName': '2S_2S METAL', 'totalCash': 233572992, 'totalDebt': 10209000, 'tradeable': False, 'allTimeLow': 1.093091, 'quickRatio': 1.565, 'sectorDisp': 'Basic Materials', 'trailingPE': 9.629629, 'allTimeHigh': 6.590909, 'floatShares': 212578936, 'industryKey': 'steel', 'marketState': 'REGULAR', 'payoutRatio': 0.44439998, 'priceToBook': 0.69967705, 'trailingEps': 0.27, 'triggerable': False, '52WeekChange': 0.12711859, 'currentPrice': 2.6, 'currentRatio': 4.104, 'debtToEquity': 0.5, 'dividendRate': 0.24, 'esgPopulated': False, 'freeCashflow': 48748876, 'grossMargins': 0.0691, 'grossProfits': 513592992, 'industryDisp': 'Steel', 'totalRevenue': 7432499200, 'averageVolume': 68912, 'dividendYield': 9.02, 'ebitdaMargins': 0.02369, 'executiveTeam': [], 'lastSplitDate': 1647302400, 'previousClose': 2.66, 'profitMargins': 0.02014, 'revenueGrowth': 0.089, 'exDividendDate': 1773273600, 'messageBoardId': 'finmb_59414650', 'returnOnAssets': 0.03118, 'returnOnEquity': 0.07539, 'sourceInterval': 15, 'companyOfficers': [{'age': 65, 'name': 'Mr. Sombat  Leeswadtrakul', 'title': 'Chairman of Executive Board, CEO & Executive Director', 'maxAge': 1, 'yearBorn': 1960, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 62, 'name': 'Ms. Bunsri  Panyapiamsak', 'title': 'CFO & Executive Director', 'maxAge': 1, 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 50, 'name': 'Mr. Pakorn  Onkaew', 'title': 'Vice Managing Director of Accounting', 'maxAge': 1, 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 50, 'name': 'Ms. Tassanee  Phunuchapai', 'title': 'Vice Managing Director of Sales & Marketing', 'maxAge': 1, 'yearBorn': 1975, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 51, 'name': 'Ms. Pattranit Janthong Sasutham', 'title': 'Human Resources Manager', 'maxAge': 1, 'yearBorn': 1974, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 56, 'name': 'Mr. Sangrung  Nitipawachon', 'title': 'MD & Executive Director', 'maxAge': 1, 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 52, 'name': 'Ms. Pornnica  Lertithibaht', 'title': 'Company Secretary', 'maxAge': 1, 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}], 'cryptoTradeable': False, 'enterpriseValue': 1236546176, 'fiftyDayAverage': 2.4732, 'fiftyTwoWeekLow': 2.0, 'lastSplitFactor': '11:10', 'quoteSourceName': 'Delayed Quote', 'revenuePerShare': 13.514, 'corporateActions': [{'meta': {'amount': '0.12', 'eventType': 'DIVIDEND', 'dateEpochMs': 1773248400000}, 'header': 'Dividend', 'message': '2S.BK announced a cash dividend of 0.12 THB with an ex-date of Mar. 12, 2026'}], 'fiftyTwoWeekHigh': 2.84, 'fullExchangeName': 'Thailand', 'lastDividendDate': 1773273600, 'operatingMargins': -0.00906, 'trailingPegRatio': None, 'SandP52WeekChange': 0.17593324, 'fiftyTwoWeekRange': '2.0 - 2.84', 'financialCurrency': 'THB', 'lastDividendValue': 0.12, 'lastFiscalYearEnd': 1735603200, 'mostRecentQuarter': 1759190400, 'netIncomeToCommon': 149699008, 'nextFiscalYearEnd': 1767139200, 'operatingCashflow': 162384992, 'recommendationKey': 'none', 'regularMarketOpen': 2.64, 'regularMarketTime': 1772422013, 'sharesOutstanding': 549995954, 'totalCashPerShare': 0.425, 'enterpriseToEbitda': 7.024, 'regularMarketPrice': 2.6, 'averageVolume10days': 73980, 'enterpriseToRevenue': 0.166, 'heldPercentInsiders': 0.79930997, 'longBusinessSummary': ""2S Metal Public Company Limited, together with its subsidiaries, manufactures and sells steel pipes, steel plates, light lip channels, and steel wire mesh products in Thailand and Lao People's Democratic Republic. It operates in two segments, Production and Trading. The company offers hot dipped galvanized steel pipes/galvanized steel pipes, H-beams, I-beams, angle bars/channels, flat bars, deformed/round steel bars, cut and bend rebars, checered plates, steel square bars, galvanized steel battens, annealing wires, expanded metals, chain link and crimped wire meshes, barbered wire, and channel steel, as well as C-line products. It also trades in steel products; and provides transportation services. The company was formerly known as Southern Steel Public Company Limited and changed its name to 2S Metal Public Company Limited in April 2010. 2S Metal Public Company Limited was founded in 1992 and is headquartered in Bang Klam, Thailand."", 'nonDilutedMarketCap': 1462989237, 'regularMarketChange': -0.06000018, 'regularMarketDayLow': 2.6, 'regularMarketVolume': 2200, 'exchangeTimezoneName': 'Asia/Bangkok', 'hasPrePostMarketData': False, 'regularMarketDayHigh': 2.68, 'twoHundredDayAverage': 2.471, 'exchangeDataDelayedBy': 15, 'fiftyDayAverageChange': 0.12679982, 'fiftyTwoWeekLowChange': 0.5999999, 'gmtOffSetMilliseconds': 25200000, 'regularMarketDayRange': '2.6 - 2.68', 'fiftyTwoWeekHighChange': -0.24000001, 'averageDailyVolume10Day': 73980, 'epsTrailingTwelveMonths': 0.27, 'heldPercentInstitutions': 0.0, 'averageDailyVolume3Month': 68912, 'fiveYearAvgDividendYield': 7.35, 'impliedSharesOutstanding': 549995954, 'exchangeTimezoneShortName': 'ICT', 'fiftyTwoWeekChangePercent': 12.711859, 'customPriceAlertConfidence': 'LOW', 'firstTradeDateMilliseconds': 1251860400000, 'regularMarketChangePercent': -2.2556458, 'regularMarketPreviousClose': 2.66, 'trailingAnnualDividendRate': 0.0, 'twoHundredDayAverageChange': 0.12899995, 'trailingAnnualDividendYield': 0.0, 'fiftyDayAverageChangePercent': 0.051269535, 'fiftyTwoWeekLowChangePercent': 0.29999995, 'priceToSalesTrailing12Months': 0.19239686, 'fiftyTwoWeekHighChangePercent': -0.08450705, 'twoHundredDayAverageChangePercent': 0.052205566}",2026-03-02 11:14:14.948386
3BBIF,3BB INTERNET INFRASTRUCTURE FUND ORD,,,,,,,,6.6,6.85,5.25,"{'ask': 6.65, 'bid': 6.6, 'open': 6.55, 'dayLow': 6.55, 'market': 'th_market', 'maxAge': 86400, 'region': 'US', 'symbol': '3BBIF.BK', 'volume': 6424646, 'dayHigh': 6.65, 'currency': 'THB', 'exchange': 'SET', 'language': 'en-US', 'longName': '3BB INTERNET INFRASTRUCTURE FUND ORD', 'prevName': 'Jasmine Broadband Internet Infrastructure Fund', 'typeDisp': 'Equity', 'forwardPE': 8.32755, 'priceHint': 2, 'quoteType': 'EQUITY', 'shortName': '3BBIF_3BB INTERNET', 'tradeable': False, 'allTimeLow': 5.0, 'epsForward': 0.79255, 'allTimeHigh': 8.8, 'marketState': 'REGULAR', 'triggerable': False, 'currentPrice': 6.6, 'esgPopulated': False, 'averageVolume': 7206177, 'previousClose': 6.7, 'epsCurrentYear': 0.78839, 'messageBoardId': 'finmb_280429307', 'nameChangeDate': '2026-03-01', 'sourceInterval': 15, 'targetLowPrice': 6.1, 'cryptoTradeable': False, 'fiftyDayAverage': 6.475, 'fiftyTwoWeekLow': 5.25, 'quoteSourceName': 'Delayed Quote', 'targetHighPrice': 7.6, 'targetMeanPrice': 6.81667, 'corporateActions': [], 'fiftyTwoWeekHigh': 6.85, 'fullExchangeName': 'Thailand', 'trailingPegRatio': None, 'fiftyTwoWeekRange': '5.25 - 6.85', 'recommendationKey': 'buy', 'regularMarketOpen': 6.55, 'regularMarketTime': 1772422991, 'targetMedianPrice': 6.9, 'recommendationMean': 1.83333, 'regularMarketPrice': 6.6, 'averageVolume10days': 8673839, 'priceEpsCurrentYear': 8.371491, 'regularMarketChange': -0.099999905, 'regularMarketDayLow': 6.55, 'regularMarketVolume': 6424646, 'averageAnalystRating': '1.8 - Buy', 'earningsTimestampEnd': 1754654400, 'exchangeTimezoneName': 'Asia/Bangkok', 'hasPrePostMarketData': False, 'regularMarketDayHigh': 6.65, 'twoHundredDayAverage': 6.2835, 'exchangeDataDelayedBy': 15, 'fiftyDayAverageChange': 0.125, 'fiftyTwoWeekLowChange': 1.3499999, 'gmtOffSetMilliseconds': 25200000, 'regularMarketDayRange': '6.55 - 6.65', 'earningsTimestampStart': 1754305140, 'fiftyTwoWeekHighChange': -0.25, 'isEarningsDateEstimate': True, 'averageDailyVolume10Day': 8673839, 'numberOfAnalystOpinions': 6, 'averageDailyVolume3Month': 7206177, 'exchangeTimezoneShortName': 'ICT', 'fiftyTwoWeekChangePercent': 25.23365, 'customPriceAlertConfidence': 'LOW', 'firstTradeDateMilliseconds': 1668049200000, 'regularMarketChangePercent': -1.492536, 'regularMarketPreviousClose': 6.7, 'trailingAnnualDividendRate': 0.0, 'twoHundredDayAverageChange': 0.3164997, 'trailingAnnualDividendYield': 0.0, 'fiftyDayAverageChangePercent': 0.019305019, 'fiftyTwoWeekLowChangePercent': 0.25714284, 'fiftyTwoWeekHighChangePercent': -0.036496352, 'twoHundredDayAverageChangePercent': 0.05036997}",2026-03-02 11:14:16.178931
88TH,88(Thailand) Public Company Limited,Consumer Defensive,Household & Personal Products,1083750016.0,,,,12.142858,5.1,12.3,3.9,"{'ask': 5.1, 'bid': 5.05, 'zip': '10230', 'city': 'Bangkok', 'open': 5.0, 'phone': '66 2 326 8888', 'dayLow': 5.0, 'ebitda': 125899488, 'market': 'th_market', 'maxAge': 86400, 'region': 'US', 'sector': 'Consumer Defensive', 'symbol': '88TH.BK', 'volume': 1637210, 'country': 'Thailand', 'dayHigh': 5.15, 'website': 'https://www.88thailand.co.th', 'address1': '48 Soi Sangkom Songkroh 8', 'address2': 'Lat Phrao Sub-district/Sub-area Lat Phrao District/Area', 'currency': 'THB', 'exchange': 'SET', 'industry': 'Household & Personal Products', 'language': 'en-US', 'longName': '88(Thailand) Public Company Limited', 'prevName': '88(Thailand) Public Company Limited / 88(Thailand) Public Company Limited', 'typeDisp': 'Equity', 'bookValue': 2.171, 'marketCap': 1083750016, 'priceHint': 2, 'quoteType': 'EQUITY', 'sectorKey': 'consumer-defensive', 'shortName': '88TH_88(THAILAND)', 'totalCash': 346619008, 'totalDebt': 12305000, 'tradeable': False, 'allTimeLow': 3.9, 'quickRatio': 5.457, 'sectorDisp': 'Consumer Defensive', 'trailingPE': 12.142858, 'allTimeHigh': 12.3, 'floatShares': 101099000, 'industryKey': 'household-personal-products', 'marketState': 'REGULAR', 'payoutRatio': 0.0, 'priceToBook': 2.3491478, 'trailingEps': 0.42, 'triggerable': False, '52WeekChange': -0.35365856, 'currentPrice': 5.1, 'currentRatio': 6.492, 'debtToEquity': 2.667, 'esgPopulated': False, 'freeCashflow': 94730312, 'grossMargins': 0.69035006, 'grossProfits': 421297280, 'industryDisp': 'Household & Personal Products', 'totalRevenue': 610267904, 'averageVolume': 2993667, 'ebitdaMargins': 0.20629999, 'executiveTeam': [], 'previousClose': 5.3, 'profitMargins': 0.16239999, 'revenueGrowth': 0.265, 'earningsGrowth': 0.583, 'exDividendDate': 1777420800, 'messageBoardId': 'finmb_1913864675', 'nameChangeDate': '2026-03-01', 'returnOnAssets': 0.19055, 'returnOnEquity': 0.30055, 'sourceInterval': 15, 'companyOfficers': [{'name': 'Ms. Nuttinee  Chavananikul', 'title': 'CEO & Director', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Ms. Nopparut  Malaiwong', 'title': 'Founder, Chief Commercial Officer & Director', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Mr. Chanapat  Kaoubol', 'title': 'CFO, Company Secretary & Director', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Mr. Peerayuth  Oyissaranukul', 'title': 'Chief Operating Officer', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Ms. Patcharawalai  Hlowilailuk', 'title': 'Chief Marketing Officer', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}], 'cryptoTradeable': False, 'enterpriseValue': 791936000, 'fiftyDayAverage': 4.5114, 'fiftyTwoWeekLow': 3.9, 'quoteSourceName': 'Delayed Quote', 'revenuePerShare': 3.587, 'corporateActions': [], 'fiftyTwoWeekHigh': 12.3, 'fullExchangeName': 'Thailand', 'operatingMargins': 0.19003999, 'trailingPegRatio': None, 'SandP52WeekChange': 0.17593324, 'fiftyTwoWeekRange': '3.9 - 12.3', 'financialCurrency': 'THB', 'lastFiscalYearEnd': 1735603200, 'mostRecentQuarter': 1759190400, 'netIncomeToCommon': 99107968, 'nextFiscalYearEnd': 1767139200, 'operatingCashflow': 122928320, 'recommendationKey': 'none', 'regularMarketOpen': 5.0, 'regularMarketTime': 1772422994, 'sharesOutstanding': 212500000, 'totalCashPerShare': 1.631, 'enterpriseToEbitda': 6.29, 'regularMarketPrice': 5.1, 'averageVolume10days': 3919052, 'enterpriseToRevenue': 1.298, 'heldPercentInsiders': 0.63435, 'longBusinessSummary': '88(Thailand) Public Company Limited manufactures and distributes hair and skincare products and cosmetics. The company was founded in 2015 and is based in Bangkok, Thailand.', 'nonDilutedMarketCap': 1126250000, 'regularMarketChange': -0.20000029, 'regularMarketDayLow': 5.0, 'regularMarketVolume': 1637210, 'exchangeTimezoneName': 'Asia/Bangkok', 'hasPrePostMarketData': False, 'regularMarketDayHigh': 5.15, 'twoHundredDayAverage': 4.8704042, 'exchangeDataDelayedBy': 15, 'fiftyDayAverageChange': 0.5885997, 'fiftyTwoWeekLowChange': 1.1999998, 'gmtOffSetMilliseconds': 25200000, 'regularMarketDayRange': '5.0 - 5.15', 'fiftyTwoWeekHighChange': -7.2000003, 'averageDailyVolume10Day': 3919052, 'earningsQuarterlyGrowth': 0.588, 'epsTrailingTwelveMonths': 0.42, 'heldPercentInstitutions': 0.32672, 'averageDailyVolume3Month': 2993667, 'impliedSharesOutstanding': 212500000, 'exchangeTimezoneShortName': 'ICT', 'fiftyTwoWeekChangePercent': -35.365856, 'customPriceAlertConfidence': 'LOW', 'firstTradeDateMilliseconds': 1759460400000, 'regularMarketChangePercent': -3.77359, 'regularMarketPreviousClose': 5.3, 'trailingAnnualDividendRate': 0.0, 'twoHundredDayAverageChange': 0.22959566, 'trailingAnnualDividendYield': 0.0, 'fiftyDayAverageChangePercent': 0.1304694, 'fiftyTwoWeekLowChangePercent': 0.30769226, 'priceToSalesTrailing12Months': 1.7758595, 'fiftyTwoWeekHighChangePercent': -0.5853659, 'twoHundredDayAverageChangePercent': 0.047140986}",2026-03-02 11:14:17.383905
A,Areeya Property Public Company Limited,Real Estate,Real Estate - Development,4743200256.0,0.068,,,,4.84,5.3,4.48,"{'ask': 0.0, 'bid': 0.0, 'fax': '66 2 798 9990', 'zip': '10310', 'beta': 0.068, 'city': 'Bangkok', 'open': 4.84, 'phone': '66 2 798 9999', 'dayLow': 4.84, 'ebitda': -289068096, 'market': 'th_market', 'maxAge': 86400, 'region': 'US', 'sector': 'Real Estate', 'symbol': 'A.BK', 'volume': 3, 'askSize': 0, 'bidSize': 0, 'country': 'Thailand', 'dayHigh': 4.84, 'website': 'https://www.areeya.co.th', 'address1': '999 Praditmanutham Road', 'address2': 'Kwaeng Saphansong Khet Wangthonglang', 'currency': 'THB', 'exchange': 'SET', 'industry': 'Real Estate - Development', 'language': 'en-US', 'longName': 'Areeya Property Public Company Limited', 'typeDisp': 'Equity', 'bookValue': 1.517, 'marketCap': 4743200256, 'priceHint': 4, 'quoteType': 'EQUITY', 'sectorKey': 'real-estate', 'shortName': 'A_AREEYA PROPERTY', 'totalCash': 48323000, 'totalDebt': 10681158656, 'tradeable': False, 'allTimeLow': 1.460082, 'quickRatio': 0.023, 'sectorDisp': 'Real Estate', 'allTimeHigh': 6.75, 'floatShares': 172078200, 'industryKey': 'real-estate-development', 'marketState': 'REGULAR', 'payoutRatio': 0.0, 'priceToBook': 3.1905077, 'trailingEps': -0.99, 'triggerable': False, '52WeekChange': -0.016260147, 'currentPrice': 4.84, 'currentRatio': 1.141, 'debtToEquity': 625.839, 'esgPopulated': False, 'freeCashflow': 305338656, 'grossMargins': 0.18545, 'grossProfits': 149768064, 'industryDisp': 'Real Estate - Development', 'totalRevenue': 807583744, 'averageVolume': 781, 'ebitdaMargins': -0.35794, 'executiveTeam': [], 'previousClose': 4.84, 'profitMargins': -1.18634, 'revenueGrowth': -0.695, 'exDividendDate': 1616371200, 'messageBoardId': 'finmb_9663533', 'returnOnAssets': -0.012990001, 'returnOnEquity': -0.43868, 'sourceInterval': 15, 'companyOfficers': [{'age': 64, 'name': 'Mr. Viwat  Lauhapoonrungsi', 'title': 'Executive Chairman', 'maxAge': 1, 'yearBorn': 1961, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 58, 'name': 'Mr. Wisit  Laohapoonrungsee', 'title': 'Vice-Chairman, CEO, Acting Assistant Director of Marketing & Sale Department', 'maxAge': 1, 'yearBorn': 1967, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 66, 'name': 'Ms. Niphapat  Romerattanaphun', 'title': 'Executive Director', 'maxAge': 1, 'yearBorn': 1959, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 93, 'name': 'Mr. Thun  Thiansuwan', 'title': 'Executive Director', 'maxAge': 1, 'yearBorn': 1932, 'exercisedValue': 0, 'unexercisedValue': 0}, {'age': 53, 'name': 'Mr. Archawan  Eiampaiboonphan', 'title': 'Senior First EVP of Construction Department & Executive Director', 'maxAge': 1, 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Ms. Suchaya  Ratanajaipan', 'title': 'Executive Vice President of Accounting & Finance Division', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Benjawan  Sisod', 'title': 'Manager \x96 Administration Department', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Mr. Jiraroj  Wonglerttanakij', 'title': 'Executive Vice President of Legal Department', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Ms. Usarapon  Jaroensawamipak', 'title': 'Vice President of Marketing Department', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}, {'name': 'Ms. Kanokporn  Apichitanon', 'title': 'Senior Vice President of Human Resource', 'maxAge': 1, 'exercisedValue': 0, 'unexercisedValue': 0}], 'cryptoTradeable': False, 'enterpriseValue': 15376035840, 'fiftyDayAverage': 4.8444, 'fiftyTwoWeekLow': 4.48, 'quoteSourceName': 'Delayed Quote', 'revenuePerShare': 0.824, 'corporateActions': [], 'fiftyTwoWeekHigh': 5.3, 'fullExchangeName': 'Thailand', 'lastDividendDate': 1616371200, 'operatingMargins': -1.3292999, 'trailingPegRatio': None, 'SandP52WeekChange': 0.17593324, 'fiftyTwoWeekRange': '4.48 - 5.3', 'financialCurrency': 'THB', 'lastDividendValue': 0.03, 'lastFiscalYearEnd': 1735603200, 'mostRecentQuarter': 1759190400, 'netIncomeToCommon': -971271680, 'nextFiscalYearEnd': 1767139200, 'operatingCashflow': -123597128, 'recommendationKey': 'none', 'regularMarketOpen': 4.84, 'regularMarketTime': 1772075213, 'sharesOutstanding': 980000000, 'totalCashPerShare': 0.049, 'enterpriseToEbitda': -53.192, 'regularMarketPrice': 4.84, 'averageVolume10days': 130, 'enterpriseToRevenue': 19.04, 'heldPercentInsiders': 0.98756, 'longBusinessSummary': 'Areeya Property Public Company Limited, together with its subsidiaries, engages in the development of real estate projects in Thailand. It primarily develops single detached house, townhome, and condominium projects. The company is also involved in the provision of after sales services for property; construction services; and property management services, as well as in the restaurant and hotels business. Areeya Property Public Company Limited was founded in 2000 and is headquartered in Bangkok, Thailand.', 'nonDilutedMarketCap': 4743200000, 'regularMarketChange': 0.0, 'regularMarketDayLow': 4.84, 'regularMarketVolume': 3, 'exchangeTimezoneName': 'Asia/Bangkok', 'hasPrePostMarketData': False, 'regularMarketDayHigh': 4.84, 'twoHundredDayAverage': 4.8489, 'exchangeDataDelayedBy': 15, 'fiftyDayAverageChange': -0.0043997765, 'fiftyTwoWeekLowChange': 0.36000013, 'gmtOffSetMilliseconds': 25200000, 'regularMarketDayRange': '4.84 - 4.84', 'fiftyTwoWeekHighChange': -0.46000004, 'averageDailyVolume10Day': 130, 'epsTrailingTwelveMonths': -0.99, 'heldPercentInstitutions': 0.0, 'averageDailyVolume3Month': 781, 'impliedSharesOutstanding': 980000000, 'exchangeTimezoneShortName': 'ICT', 'fiftyTwoWeekChangePercent': -1.6260147, 'customPriceAlertConfidence': 'LOW', 'firstTradeDateMilliseconds': 1080788400000, 'regularMarketChangePercent': 0.0, 'regularMarketPreviousClose': 4.84, 'trailingAnnualDividendRate': 0.0, 'twoHundredDayAverageChange': -0.008899689, 'trailingAnnualDividendYield': 0.0, 'fiftyDayAverageChangePercent': -0.0009082191, 'fiftyTwoWeekLowChangePercent': 0.08035717, 'priceToSalesTrailing12Months': 5.873323, 'fiftyTwoWeekHighChangePercent': -0.086792454, 'twoHundredDayAverageChangePercent': -0.0018354037}",2026-03-02 11:14:18.608186
