symbol,company_name_th,sector,roe,pe_ratio,de_ratio
UMS,บริษัท ยูนิค ไมนิ่ง เซอร์วิสเซส จำกัด (มหาชน),Energy,22.738001,2.8888886,53.86
SO,บริษัท สยามราชธานี จำกัด (มหาชน),Industrials,22.543,8.32,109.152
BTG,บริษัท เบทาโกร จำกัด (มหาชน),Consumer Defensive,22.518,6.2427745,57.853
BA,บริษัท การบินกรุงเทพ จำกัด (มหาชน),Industrials,22.314999999999998,9.421965,179.872
MPJ,บริษัท เอ็ม พี เจ โลจิสติกส์ จำกัด (มหาชน),Industrials,22.311,6.779661,58.802
MAGURO,บริษัท มากุโระ กรุ๊ป จำกัด (มหาชน),Consumer Cyclical,22.186,21.284403,113.859
WINNER,บริษัท วินเนอร์กรุ๊ป เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),Consumer Defensive,22.077999000000002,9.909091,62.18
MFC,บริษัทหลักทรัพย์จัดการกองทุน เอ็มเอฟซี จำกัด (มหาชน),Financial Services,21.766001,10.622222,23.458
FM,บริษัท ฟู้ดโมเม้นท์ จำกัด (มหาชน),Consumer Defensive,21.666000999999998,5.189189,8.867
TSC,บริษัท ไทยสตีลเคเบิล จำกัด (มหาชน),Consumer Cyclical,21.471001,10.820895,0.047
KLINIQ,บริษัท เดอะคลีนิกค์ คลินิกเวชกรรม จำกัด (มหาชน),Consumer Cyclical,21.401999999999997,15.471698,39.478
SWC,บริษัท เชอร์วู้ด คอร์ปอเรชั่น (ประเทศไทย) จำกัด (มหาชน),Basic Materials,21.326999999999998,14.413793,11.877
POLY,บริษัท โพลีเน็ต จำกัด (มหาชน),Industrials,21.280001000000002,12.666666,2.085
SFLEX,บริษัท สตาร์เฟล็กซ์ จำกัด (มหาชน),Consumer Cyclical,21.169001,9.882353,57.09
STP,บริษัท สหไทยการพิมพ์และบรรจุภัณฑ์ จำกัด (มหาชน),Basic Materials,20.916,6.5476193,10.556
MEGA,บริษัท เมก้า ไลฟ์ไซแอ็นซ์ จำกัด (มหาชน),Healthcare,20.868999,16.3242,6.691
NER,บริษัท นอร์ทอีส รับเบอร์ จำกัด (มหาชน),Basic Materials,20.714001,4.84,103.058
SRICHA,บริษัท ศรีราชาคอนสตรัคชั่น จำกัด (มหาชน),Industrials,20.639999,15.476191,26.632
AURA,บริษัท ออโรร่า ดีไซน์ จำกัด (มหาชน),Consumer Cyclical,20.567,14.9,175.623
